Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,"46,316","50,334","59,945","63,784","69,444","72,056","70,098","74,712","77,332","81,706"
Albania,"28,335","29,655","30,530","30,604","32,529","33,595","34,736","37,609","40,016","41,538"
Algeria,"513,958","540,261","540,352","545,344","565,630","539,234","532,443","542,305","562,715","577,497"
Andorra,"3,577","3,651","3,571","3,563","3,718","3,784","4,072","4,215","4,380","4,543"
Angola,"153,909","162,539","186,124","199,866","220,365","204,604","204,875","217,805","219,862","221,983"
Antigua and Barbuda,"1,815","1,816","1,772","1,720","1,762","1,770","1,883","1,893","2,069","2,195"
Argentina,"736,904","797,264","819,698","849,616","839,897","867,177","885,228","1,039,331","1,035,314","1,031,629"
Armenia,"21,604","23,086","27,009","28,500","29,231","29,167","31,429","35,677","38,401","42,025"
Aruba,"3,435","3,624","3,552","3,799","3,817","3,893","3,941","4,098","4,292","4,264"
Australia,"926,331","971,635","984,321","1,084,743","1,111,716","1,112,777","1,171,851","1,230,131","1,294,160","1,339,769"
Austria,"355,111","373,031","391,635","406,370","417,060","431,092","460,236","479,460","502,339","518,179"
Azerbaijan,"132,925","135,804","148,340","161,865","166,329","144,146","140,230","139,153","144,433","150,500"
Bahamas,"10,914","11,207","11,713","11,510","12,162","12,467","12,716","13,594","14,311","14,443"
Bahrain,"58,178","60,556","65,875","67,717","68,276","62,523","63,831","71,282","74,454","77,344"
Bangladesh,"463,983","504,308","567,581","609,987","663,353","713,176","771,984","834,543","918,629","986,177"
Barbados,"4,551","4,614","4,344","4,360","4,322","4,435","4,562","4,523","4,595","4,688"
Belarus,"145,832","156,715","171,038","179,366","179,598","171,204","168,422","173,630","183,181","188,950"
Belgium,"435,419","451,933","469,721","487,344","503,621","521,018","550,622","575,834","599,585","623,312"
Belize,"3,105","3,160","3,066","3,198","3,238","3,329","3,339","3,297","3,408","3,612"
Benin,"21,754","22,860","24,309","26,709","29,147","30,531","32,668","34,023","37,133","40,349"
Bhutan,"4,535","5,092","5,660","5,949","6,362","7,096","7,815","8,455","8,952","9,526"
Bolivia,"51,935","55,765","61,453","69,841","75,554","77,543","82,736","94,285","100,519","104,471"
Bosnia and Herzegovina,"35,436","36,495","37,104","38,975","39,732","41,690","44,795","47,025","49,944","52,248"
Botswana,"25,929","28,274","26,808","29,053","32,411","30,937","35,938","35,203","37,518","39,305"
Brazil,"2,799,324","2,970,631","2,998,534","3,133,894","3,187,155","3,014,755","2,939,094","3,018,706","3,142,937","3,234,705"
Brunei,"31,207","33,044","35,210","33,885","33,344","25,949","23,633","25,891","26,498","27,985"
Bulgaria,"111,057","115,717","119,286","120,960","127,259","132,011","143,011","152,315","160,003","169,253"
Burkina Faso,"23,447","25,515","26,835","28,735","29,761","31,033","35,339","39,217","42,765","45,868"
Burundi,"5,754","6,109","6,386","7,069","7,649","8,551","8,358","8,375","8,705","9,014"
Cape Verde,"3,078","3,265","3,229","3,250","3,271","3,447","3,736","4,029","4,274","4,647"
Cambodia,"43,335","47,452","53,781","59,526","64,206","70,444","76,872","83,248","92,628","101,658"
Cameroon,"57,254","60,471","63,568","69,099","75,135","79,113","84,393","90,038","95,804","100,746"
Canada,"1,359,241","1,430,807","1,468,095","1,554,123","1,621,397","1,594,899","1,678,387","1,776,855","1,867,414","1,934,996"
Central African Republic,"4,208","4,475","4,889","3,285","3,216","3,536","3,862","4,195","4,455","4,665"
Chad,"28,681","29,648","28,920","27,094","29,930","34,023","32,173","31,812","34,453","37,337"
Chile,"322,046","349,148","374,317","392,670","402,902","405,311","411,643","436,010","463,793","474,570"
China,"12,284,703","13,735,671","15,137,455","16,277,355","17,200,686","17,880,337","18,701,703","19,814,058","21,636,218","23,308,573"
Colombia,"485,436","529,874","553,767","591,784","625,018","630,399","672,093","700,091","734,494","770,623"
Comoros,"1,554","1,651","1,818","1,955","2,063","2,107","2,278","2,468","2,616","2,707"
Democratic Republic of the Congo,"41,534","45,610","47,354","57,406","66,951","73,113","78,923","89,629","96,106","102,102"
Republic of the Congo,"22,870","23,856","28,576","28,056","28,096","22,531","20,459","23,085","23,070","23,721"
Costa Rica,"58,897","62,759","67,139","71,160","77,049","82,853","90,838","97,896","102,758","107,009"
Ivory Coast,"72,779","70,673","78,216","86,354","97,907","108,070","113,651","120,166","128,870","139,841"
Croatia,"88,735","90,491","91,795","94,405","94,980","98,353","105,677","112,375","118,193","124,261"
Cyprus,"27,735","28,425","27,580","26,248","25,721","27,066","30,549","33,033","35,698","38,307"
